,count,author,time,thread_id,comment_id
242,2001241,Urbul,1505528846,707bht,dn2llca
243,2001242,kdiuro13,1505528972,707bht,dn2lo2s
244,2001243,Urbul,1505529016,707bht,dn2lp04
245,2001244,davidjl123,1505529661,707bht,dn2m2kk
246,2001245,Urbul,1505529941,707bht,dn2m8fn
247,2001246,kdiuro13,1505530129,707bht,dn2mcb6
248,2001247,Urbul,1505530138,707bht,dn2mci5
249,2001248,kdiuro13,1505530147,707bht,dn2mcp9
250,2001249,Urbul,1505530156,707bht,dn2mcvw
251,2001250,kdiuro13,1505530165,707bht,dn2md2o
252,2001251,Urbul,1505530178,707bht,dn2mdbv
253,2001252,kdiuro13,1505530188,707bht,dn2mdj6
254,2001253,Urbul,1505530233,707bht,dn2medq
255,2001254,kdiuro13,1505531674,707bht,dn2n6uk
256,2001255,Urbul,1505532516,707bht,dn2nn4c
257,2001256,smarvin6689,1505533162,707bht,dn2nz3t
258,2001257,gordonpt8,1505533786,707bht,dn2oagd
259,2001258,kdiuro13,1505534746,707bht,dn2or9t
260,2001259,-Albus-,1505537369,707bht,dn2pxz6
261,2001260,smarvin6689,1505544516,707bht,dn2skw1
262,2001261,Jade_Sharpe,1505545078,707bht,dn2srg4
263,2001262,-Albus-,1505546039,707bht,dn2t2qc
264,2001263,kinetic37,1505561677,707bht,dn2yc1f
265,2001264,[deleted],1505561744,707bht,dn2yd4x
266,2001265,cfcgtyk,1505562253,707bht,dn2ylaz
267,2001266,[deleted],1505562299,707bht,dn2ym1x
268,2001267,DemonBurritoCat,1505563710,707bht,dn2zawz
269,2001268,[deleted],1505566510,707bht,dn30usp
270,2001269,smarvin6689,1505566925,707bht,dn3141p
271,2001270,Tornado9797,1505567581,707bht,dn31iux
272,2001271,[deleted],1505567662,707bht,dn31ko2
273,2001272,DemonBurritoCat,1505568068,707bht,dn31u7x
274,2001273,cfcgtyk,1505568421,707bht,dn322fh
275,2001274,DemonBurritoCat,1505568521,707bht,dn3252d
276,2001275,[deleted],1505569311,707bht,dn32ohm
277,2001276,DemonBurritoCat,1505569322,707bht,dn32orf
278,2001277,[deleted],1505569478,707bht,dn32sfy
279,2001278,DemonBurritoCat,1505569553,707bht,dn32uaj
280,2001279,[deleted],1505569649,707bht,dn32wks
281,2001280,DemonBurritoCat,1505569668,707bht,dn32x2o
282,2001281,cfcgtyk,1505569681,707bht,dn32xdc
283,2001282,DemonBurritoCat,1505569751,707bht,dn32z1c
284,2001283,[deleted],1505569841,707bht,dn331a5
285,2001284,cfcgtyk,1505569941,707bht,dn333r1
286,2001285,[deleted],1505569959,707bht,dn33469
287,2001286,cfcgtyk,1505570205,707bht,dn33a51
288,2001287,[deleted],1505570219,707bht,dn33aih
289,2001288,[deleted],1505570330,707bht,dn33d9a
290,2001289,smarvin6689,1505571018,707bht,dn33u7w
291,2001290,[deleted],1505571113,707bht,dn33wmp
292,2001291,smarvin6689,1505571297,707bht,dn34199
293,2001292,Urbul,1505571533,707bht,dn3472m
294,2001293,cfcgtyk,1505571552,707bht,dn347ja
295,2001294,Urbul,1505571585,707bht,dn348dt
296,2001295,cfcgtyk,1505571599,707bht,dn348sb
297,2001296,sportlaan,1505571681,707bht,dn34av5
298,2001297,Urbul,1505571830,707bht,dn34epz
299,2001298,sportlaan,1505571900,707bht,dn34gj2
300,2001299,cfcgtyk,1505572313,707bht,dn34re9
301,2001300,TheNitromeFan,1505573144,707bht,dn35dzp
302,2001301,VitaminB16,1505573518,707bht,dn35o2s
303,2001302,cfcgtyk,1505573775,707bht,dn35v7n
304,2001303,TheNitromeFan,1505573891,707bht,dn35yoq
305,2001304,[deleted],1505574337,NA,
306,2001305,TheNitromeFan,1505574371,707bht,dn36c27
307,2001306,[deleted],1505574418,NA,
308,2001307,TheNitromeFan,1505574435,707bht,dn36dv1
309,2001308,VitaminB16,1505574735,707bht,dn36m82
310,2001309,TheNitromeFan,1505574783,707bht,dn36nkb
311,2001310,TOP_6689,1505575362,707bht,dn373np
312,2001311,cfcgtyk,1505575908,707bht,dn37ijy
313,2001312,kdiuro13,1505575960,707bht,dn37jx8
314,2001313,TheNitromeFan,1505576034,707bht,dn37lwh
315,2001314,kdiuro13,1505576067,707bht,dn37mqm
316,2001315,TOP_6689,1505576133,707bht,dn37oif
317,2001316,cfcgtyk,1505576149,707bht,dn37oya
318,2001317,TOP_6689,1505576190,707bht,dn37q2w
319,2001318,kdiuro13,1505576354,707bht,dn37una
320,2001319,TOP_6689,1505576676,707bht,dn383jc
321,2001320,davidjl123,1505576773,707bht,dn386ai
322,2001321,[deleted],1505576931,707bht,dn38atr
323,2001322,kdiuro13,1505577297,707bht,dn38l9v
324,2001323,TheNitromeFan,1505577960,707bht,dn393tj
325,2001324,[deleted],1505578601,NA,
326,2001325,kdiuro13,1505578817,707bht,dn39rws
327,2001326,[deleted],1505579138,NA,
328,2001327,[deleted],1505579331,707bht,dn3a6fs
329,2001328,kdiuro13,1505579608,707bht,dn3aebe
330,2001329,gordonpt8,1505579831,707bht,dn3akm9
331,2001330,parker_cube,1505580095,707bht,dn3as1x
332,2001331,cfcgtyk,1505581157,707bht,dn3bmd4
333,2001332,[deleted],1505581177,707bht,dn3bmy6
334,2001333,atomicimploder,1505581305,707bht,dn3bqpa
335,2001334,[deleted],1505581333,707bht,dn3brhq
336,2001335,PixelPixell,1505581614,707bht,dn3bzhl
337,2001336,[deleted],1505581635,707bht,dn3c01k
338,2001337,PixelPixell,1505581694,707bht,dn3c1pb
339,2001338,[deleted],1505581709,707bht,dn3c24x
340,2001339,PixelPixell,1505581729,707bht,dn3c2ob
341,2001340,[deleted],1505581799,707bht,dn3c4ns
342,2001341,PixelPixell,1505581884,707bht,dn3c73q
343,2001342,[deleted],1505581960,707bht,dn3c99g
344,2001343,atomicimploder,1505582100,707bht,dn3cdb1
345,2001344,PixelPixell,1505582276,707bht,dn3cib0
346,2001345,davidjl123,1505582286,707bht,dn3ciln
347,2001346,PixelPixell,1505582304,707bht,dn3cj3d
348,2001347,davidjl123,1505582368,707bht,dn3ckug
349,2001348,[deleted],1505582384,707bht,dn3clbm
350,2001349,sportlaan,1505582488,707bht,dn3co74
351,2001350,davidjl123,1505582502,707bht,dn3cokl
352,2001351,sportlaan,1505582544,707bht,dn3cps6
353,2001352,[deleted],1505582583,707bht,dn3cqvu
354,2001353,[deleted],1505582616,NA,
355,2001354,[deleted],1505582643,707bht,dn3cslt
356,2001355,sportlaan,1505582862,707bht,dn3cyqi
357,2001356,PixelPixell,1505583030,707bht,dn3d3kp
358,2001357,atomicimploder,1505583114,707bht,dn3d5yv
359,2001358,PixelPixell,1505583165,707bht,dn3d7fm
360,2001359,atomicimploder,1505583188,707bht,dn3d84a
361,2001360,cfcgtyk,1505583232,707bht,dn3d9cr
362,2001361,PixelPixell,1505583326,707bht,dn3dbxi
363,2001362,atomicimploder,1505583350,707bht,dn3dcl2
364,2001363,[deleted],1505583383,707bht,dn3ddi2
365,2001364,atomicimploder,1505583462,707bht,dn3dfox
366,2001365,cfcgtyk,1505583499,707bht,dn3dgpp
367,2001366,[deleted],1505583570,707bht,dn3dio9
368,2001367,atomicimploder,1505583607,707bht,dn3djpo
369,2001368,cfcgtyk,1505583649,707bht,dn3dkv1
370,2001369,[deleted],1505583686,707bht,dn3dlv2
371,2001370,cfcgtyk,1505583771,707bht,dn3do8j
372,2001371,atomicimploder,1505583792,707bht,dn3dot8
373,2001372,cfcgtyk,1505583845,707bht,dn3dqak
374,2001373,kdiuro13,1505583863,707bht,dn3dqtn
375,2001374,[deleted],1505583883,707bht,dn3drdo
376,2001375,atomicimploder,1505583910,707bht,dn3ds2v
377,2001376,cfcgtyk,1505583934,707bht,dn3dspy
378,2001377,[deleted],1505584029,707bht,dn3dvaq
379,2001378,kdiuro13,1505584220,707bht,dn3e0lq
380,2001379,atomicimploder,1505584388,707bht,dn3e58c
381,2001380,Urbul,1505584407,707bht,dn3e5r7
382,2001381,kdiuro13,1505584459,707bht,dn3e745
383,2001382,Urbul,1505584584,707bht,dn3eaiw
384,2001383,cfcgtyk,1505584606,707bht,dn3eb4a
385,2001384,kdiuro13,1505584759,707bht,dn3efej
386,2001385,Urbul,1505584822,707bht,dn3eh4q
387,2001386,kdiuro13,1505585318,707bht,dn3euvy
388,2001387,Urbul,1505585336,707bht,dn3evet
389,2001388,sportlaan,1505585491,707bht,dn3ezpi
390,2001389,Urbul,1505585526,707bht,dn3f0na
391,2001390,kdiuro13,1505585572,707bht,dn3f1zl
392,2001391,Urbul,1505585751,707bht,dn3f6xk
393,2001392,atomicimploder,1505585870,707bht,dn3fa8s
394,2001393,Urbul,1505585905,707bht,dn3fb5g
395,2001394,abplows,1505585935,707bht,dn3fbzf
396,2001395,kdiuro13,1505585949,707bht,dn3fcbr
397,2001396,Urbul,1505586032,707bht,dn3fell
398,2001397,kdiuro13,1505586039,707bht,dn3fet8
399,2001398,Urbul,1505586101,707bht,dn3fgiu
400,2001399,kdiuro13,1505586106,707bht,dn3fgnj
401,2001400,Urbul,1505586131,707bht,dn3fhcs
402,2001401,kdiuro13,1505586139,707bht,dn3fhl1
403,2001402,Urbul,1505586155,707bht,dn3fi0q
404,2001403,kdiuro13,1505586165,707bht,dn3fi9w
405,2001404,Urbul,1505586180,707bht,dn3fipx
406,2001405,kdiuro13,1505586185,707bht,dn3fiuk
407,2001406,Urbul,1505586209,707bht,dn3fjit
408,2001407,kdiuro13,1505586215,707bht,dn3fjnf
409,2001408,Urbul,1505586231,707bht,dn3fk2k
410,2001409,kdiuro13,1505586240,707bht,dn3fkd4
411,2001410,Urbul,1505586253,707bht,dn3fkpt
412,2001411,kdiuro13,1505586257,707bht,dn3fkt7
413,2001412,Urbul,1505586275,707bht,dn3flbc
414,2001413,kdiuro13,1505586279,707bht,dn3flfh
415,2001414,Urbul,1505586308,707bht,dn3fm95
416,2001415,kdiuro13,1505586327,707bht,dn3fmrj
417,2001416,Urbul,1505586339,707bht,dn3fn3d
418,2001417,kdiuro13,1505586344,707bht,dn3fn81
419,2001418,Urbul,1505586357,707bht,dn3fnku
420,2001419,kdiuro13,1505586363,707bht,dn3fnrk
421,2001420,atomicimploder,1505586468,707bht,dn3fqol
422,2001421,sportlaan,1505586535,707bht,dn3fsgd
423,2001422,kdiuro13,1505586572,707bht,dn3ftgt
424,2001423,sportlaan,1505586614,707bht,dn3fum4
425,2001424,kdiuro13,1505586660,707bht,dn3fvwo
426,2001425,sportlaan,1505586715,707bht,dn3fxf7
427,2001426,kdiuro13,1505587112,707bht,dn3g87l
428,2001427,sportlaan,1505587170,707bht,dn3g9ox
429,2001428,atomicimploder,1505587214,707bht,dn3gaw8
430,2001429,kdiuro13,1505587238,707bht,dn3gbjy
431,2001430,atomicimploder,1505587595,707bht,dn3gl38
432,2001431,kdiuro13,1505587855,707bht,dn3gry0
433,2001432,cfcgtyk,1505588605,707bht,dn3hcy6
434,2001433,Urbul,1505588621,707bht,dn3hdeo
435,2001434,kdiuro13,1505588673,707bht,dn3hev4
436,2001435,PixelPixell,1505588963,707bht,dn3hn39
437,2001436,kdiuro13,1505589025,707bht,dn3horj
438,2001437,smarvin6689,1505589297,707bht,dn3hwc6
439,2001438,kdiuro13,1505589337,707bht,dn3hxe7
440,2001439,smarvin6689,1505589383,707bht,dn3hyq8
441,2001440,Super64AdvanceDS,1505589830,707bht,dn3iaol
442,2001441,[deleted],1505590288,707bht,dn3ineu
443,2001442,[deleted],1505590441,707bht,dn3irh8
444,2001443,[deleted],1505590502,707bht,dn3it5t
445,2001444,[deleted],1505590667,707bht,dn3ixtd
446,2001445,[deleted],1505590707,707bht,dn3iywb
447,2001446,kdiuro13,1505590736,707bht,dn3izmx
448,2001447,[deleted],1505590750,707bht,dn3j01r
449,2001448,[deleted],1505590781,707bht,dn3j0vy
450,2001449,[deleted],1505590815,707bht,dn3j1u0
451,2001450,kdiuro13,1505590860,707bht,dn3j32u
452,2001451,[deleted],1505590890,707bht,dn3j3ww
453,2001452,kdiuro13,1505590952,707bht,dn3j5lg
454,2001453,[deleted],1505591180,707bht,dn3jbw3
455,2001454,cfcgtyk,1505591533,707bht,dn3jlj9
456,2001455,kdiuro13,1505591680,707bht,dn3jpke
457,2001456,cfcgtyk,1505591874,707bht,dn3juqt
458,2001457,kdiuro13,1505591914,707bht,dn3jvu4
459,2001458,padiwik,1505592029,707bht,dn3jz0e
460,2001459,kdiuro13,1505592039,707bht,dn3jzbm
461,2001460,padiwik,1505592222,707bht,dn3k470
462,2001461,Urbul,1505593356,707bht,dn3kyfy
463,2001462,DemonBurritoCat,1505593682,707bht,dn3l72h
464,2001463,Urbul,1505594215,707bht,dn3ll13
465,2001464,Tornado9797,1505594593,707bht,dn3lv9q
466,2001465,Urbul,1505594677,707bht,dn3lxoa
467,2001466,Aschebescher,1505595977,707bht,dn3mx1m
468,2001467,gordonpt8,1505596254,707bht,dn3n4g5
469,2001468,[deleted],1505597426,707bht,dn3o0b1
470,2001469,treje,1505601188,707bht,dn3qr0h
471,2001470,Urbul,1505601303,707bht,dn3qtte
472,2001471,treje,1505601312,707bht,dn3qu18
473,2001472,Urbul,1505601325,707bht,dn3qucl
474,2001473,treje,1505601431,707bht,dn3qwxs
475,2001474,Urbul,1505601444,707bht,dn3qx94
476,2001475,DemonBurritoCat,1505602854,707bht,dn3rwqk
477,2001476,Urbul,1505602880,707bht,dn3rxd8
478,2001477,atomicimploder,1505603519,707bht,dn3sd38
479,2001478,treje,1505603670,707bht,dn3sgqn
480,2001479,RedWaveThe1st,1505603840,707bht,dn3skue
481,2001480,username111112222233,1505603856,707bht,dn3sl8x
482,2001481,treje,1505603890,707bht,dn3sm2x
483,2001482,username111112222233,1505603929,707bht,dn3sn1v
484,2001483,treje,1505603942,707bht,dn3sndj
485,2001484,username111112222233,1505603951,707bht,dn3snlp
486,2001485,treje,1505603956,707bht,dn3snqu
487,2001486,username111112222233,1505603965,707bht,dn3snyn
488,2001487,treje,1505603968,707bht,dn3so1o
489,2001488,username111112222233,1505603972,707bht,dn3so54
